recipe_title,servings,meal,calories,carbs,protein,fat,ingredients,instructions
Chicken Tikka,1,dinner,501,49,55,13,1 chicken breast or 180 g; 400 g crushed tomatoes; 100 g plain yogurt; 100 g 3% fat evaporated milk; 50 g medium onion; 4 cloves of garlic; 1 piece fresh ginger (thumb size); 1 g coriander; 1 g chili powder; 2 g turmeric; 2 g paprika; to taste lemon (juice); 2 g oil; to taste salt and black pepper,"Peel and grate garlic and ginger. | Mix all spices in a small container. | Place a bowl on a scale. Add in yogurt and half of the spices. 2 grated cloves of garlic, and 1 piece of minced ginger. | Add a pinch of salt. Squeeze in the lemon juice and mix until combined. | Cut the chicken into 3-4 pieces and add it into the bowl and cover the chicken with the marinade. Cover the bowl and let it marinate in the fridge for 1-4 hours. | Chop up the onion. | Place a pan on the stove on medium-high heat and add in the chicken breast. Fry each side for around 1 minute. | Remove the chicken, add in oil and add in the onions. Fry them for 3-5 minutes and then add in the remaining garlic and ginger and keep frying for 30 seconds. | Add remaining spices, mix everything together including the crushed tomatoes. Stir it and let it simmer on medium heat for 10 minutes. | Add evaporated milk and mix until the color changes to a warm orange. | Add in the chicken again and let it simmer until the chicken is cooked through. This should take about 3-4 more minutes."
Onepot Beef & Mushrooms,1,dinner,588,69,55,13,180 g ground beef 95/5; 250 g mushrooms; 50 g medium onion; 1 clove of garlic; 75 g spinach; 20 g pickled Jalapenos; 200 g crushed tomatoes; 200 g water; 125 g instant rice; 2 g oil; to taste salt and black pepper,"Dice onion, peel and grate garlic, chop up spinach and jalapenos, and cut mushrooms into bite-size pieces. | Add mushrooms with 50g water into a pan on medium-high heat. Let it saute until mushrooms collapse, 3-4 minutes. Add 2g of oil and keep frying until mushrooms get color, around 4-5 minutes. | Make space in the pan and add 2g of oil and add in the onions. Keep frying for another 3-4 minutes. | Add in beef and keep frying for another 1-2 minutes until the beef gets color. Add salt and pepper. | Add garlic and jalapenos and fry for 20 seconds. | Add spinach, tomatoes and water, stir everything and let it simmer for 5-7 minutes. | Add rice and keep cooking until instant rice is soft, about 1 minute. Check for salt and pepper. Done!"
Green Shakshuka,1,breakfast,438,30,32,21,3 eggs; 50 g medium onion; 100 g cabbage; 100 g zucchini; 100 g asparagus; 1 clove of garlic; 50 g peas; 25 g feta cheese; 4 g stock powder; 1 g cumin; 5 g fresh parsley; to taste salt; to taste black pepper,"Start by chopping up the cabbage, zucchini, asparagus, and onion. Peel and grate the garlic. | Combine the stock powder with 50g of water and mix. | Add oil to a pan and heat it over medium heat. Fry the zucchini for 1-2 minutes with a small pinch of salt. Then add the cabbage, onion, and asparagus with a bit of oil and continue frying for 3 minutes, stirring occasionally. | Add the garlic, peas, cumin, and black pepper. Stir everything and pour in the chicken stock. Crack in 3 eggs and close the lid. Let it simmer on medium-low heat for 3 minutes until the eggs are done. | Sprinkle crumbled feta cheese on top. Serve."
Ramen,1,dinner,374,20,41,12,200 g shirataki; 180 g ground beef 95/5; 30 g miso paste; 10 g gochujang; 150 g pak choi; 50 g medium onion; 1 clove of garlic; thumb size fresh ginger; 250 g water; 3 g oil,"Remove shirataki from the package and rinse it under cold water for 30 seconds until the entire liquid is washed away. Let the shirataki sit in the sink until the end of the recipe. | Chop up the onion and Pak choi. Peel and grate garlic and ginger. | Place a pot (20cm/8inch) on a stove on medium heat. Add 2g of oil and start frying the onion and the pak choi for 3-4 minutes. | Switch the heat to medium-high and add the beef. Fry the beef for 2 minutes, separating it with a spatula. | Add ginger and garlic with a touch of oil and fry for 20 seconds. | Add Gochujang and Miso paste. Stir everything and add the water. Let the broth simmer for 5 minutes on medium-low heat. | Heat a pan to medium-high without oil. Add the shirataki noodles and dry fry for 4-5 minutes until water evaporates. | Transfer shirataki into the pot with the ramen and cook for an additional minute."
Spicy Prawn Sauces with Shirataki Noodles,1,dinner,272,16,22,10,200 g shirataki; 150 g frozen prawns; 150 g tomatoes; 3 cloves garlic; 9 g oil; 10 g gochujang; 2 g cornstarch; 100 g water,"Remove Shirataki from the package and rinse it under cold water for 30 seconds until the entire liquid is washed away. Let the shirataki sit in the sink until the end of the recipe. | Cut tomatoes into halves. Peel and grate garlic. | If you buy frozen prawns, fill up a bowl with cold water, add in the frozen prawns and let them sit on the counter for 10-15 min. They will be ready to be cooked later. | Add gochujang, cornstarch and water into a glass and mix until smooth. | Add oil to a pan (24cm/9.5inch) and fry the prawns for 60-90 seconds on each side. | Remove the prawns and add in garlic with another touch of oil and fry the garlic, scraping the pan gently for 20 seconds. Add in tomatoes and gochujang-water. Stir everything, close the lid and let it simmer on medium heat for 4-5 min. Add a splash of water if the sauce is too thick. Remove the lid and keep simmering for another 2-3 minutes until the sauce turns creamy. | Add the prawns back to the pan and combine everything. Remove everything from the pan to a separate plate. | Add in the shirataki noodles, and dry fry them until the liquid has evaporated, around 2 minutes. | Add in back prawn sauce and combine everything. Top with basil or parsley. Done!"
Creamy Freezer Burritos,6,dinner,510,37,40,21,6 (25 cm or 10 inch) wheat tortillas; 900 g ground beef 95/5; 2 (or 200 g) large onions; 300 g crushed tomatoes; 4 laughing cow wedges; 120 g shredded mozzarella; 5 g oil; 8 g garlic powder; 8 g onion powder; 4 g oregano; to taste salt; to taste black pepper,"Chop all onions into bite-sized pieces. Add crushed tomatoes with salt, pepper, oregano, onion powder and garlic powder into a container. | Preheat a pan (28cm or 11 inch) to medium-high heat and add in oil. Fry ground beef, spreading it out with a spatula and wait 2 minutes until the bottom has developed color. | Add salt and pepper to the beef. | After 2-3 minutes, add onions and cook for another 2-3 minutes until translucent. | Add crushed tomatoes and cook for another 2-3 minutes. | Add laughing cow wedges and press them into the meat with a spatula until the sauce becomes orange and creamy. | Add mozzarella and stir until melted. Transfer the mixture to a plate, press it flat, and refrigerate for 20 minutes. | Place the cooled meat on a scale, divide the weight by 6, and spread the corresponding amount onto each tortilla, covering the lower third. | Fold the sides of the tortilla towards the center, then roll from the bottom to form a burrito. Wrap tightly in aluminum foil. | Repeat with all tortillas, then place in a ziplock bag and freeze for up to 3 months. | To reheat, remove foil, microwave at 260W for 7 minutes, then at 620W for 3-4 minutes until hot."
Taco Meat,2,dinner,320,11,49,14,400 g ground beef 95/5; 100 g large onion; 200 g tomato sauce; 15 g tomato puree; 3 g garlic powder; 3 g paprika; 1.5 g oregano; 1 g chili powder; 1 g cumin; 4 g oil; to taste Salt and black pepper,"Dice onion and prepare other ingredients. | Preheat a pan (28cm or 11 inches) over medium heat and add oil. Fry the onions with a pinch of salt for 2-3 minutes. | Push the onions aside, add more oil, and then add the ground beef. Use a spatula to spread the beef, ensuring as much meat as possible contacts the pan. | Fry the beef for 1 minute, then add all the seasonings. Mix everything and toast the seasonings for 15 seconds. | Add the tomato puree and fry it for 15 seconds. Then add the tomato sauce with a splash of water, and mix. Let it simmer for 1-2 minutes until it thickens. | Remove from heat and transfer to a meal prep container. Let it cool before storing in the fridge."
Broccoli Soup,1,lunch,256,49,19,1,350 g broccoli; 100 g potatoes; 1 medium or 50 g onion; 2 cloves garlic; 1 lemon lemon juice; 50 g skyr or Greek yogurt; to taste salt; to taste black pepper,"Dice the onion. Peel the garlic and cut into small pieces. | Remove the florets from the broccoli. Peel potatoes and cut into smaller pieces. | Fill a pot with 2000g of water. Add a strong pinch of salt. Bring to a boil and add the potatoes. Cook for 5 minutes. | Add the broccoli and cook for another 5 minutes with the potatoes. | Meanwhile, heat oil in a pan on medium heat, add onions and fry for 3 minutes with occasional stirring. | Add a touch of oil, then add garlic and fry for 20 seconds until fragrant. | Remove onions and garlic and transfer to a food processor or blender. | Save 50g of cooking water from the potatoes and broccoli. Drain the rest. Add potatoes, broccoli, onions, garlic, cooking water, Greek yogurt, black pepper, and lemon juice to the processor. | Blend until smooth and creamy. Taste and adjust salt or pepper as needed. Serve."
Lasagna,4,dinner,335,23,42,10,400 g ground beef 95/5; 4 lasagna sheets; 100 g large onion; 100 g celery root; 100 g carrot; 3 cloves of garlic; 250 g mushrooms; 400 g crushed tomatoes; 200 g 1% fat cottage cheese; 125 g or 100 g fresh mozzarella light or shredded mozzarella; 5 g vegetable broth powder; 7 g dry gelatine; to taste salt; to taste black pepper; 4 g (2 g for mushrooms + 2 g for beef) oil,"Fill a bowl with lukewarm water and add in lasagna sheets. Soak them to prevent drying during baking. | Chop all vegetables and mushrooms into bite-sized pieces. Peel and grate garlic. | Add broth powder and dry gelatine into a glass and stir until smooth. | Saute mushrooms with 50g water in a pan on medium-high heat until they collapse. Add 2g oil and fry until mushrooms get color, about 4-5 minutes. | Make space in the pan and add 2g oil. Add ground beef, salt, and black pepper. Fry for 2-3 minutes until browned. | Add chopped vegetables and fry with occasional stirring for 7-8 minutes. Add garlic and fry for 20 seconds. | Add crushed tomatoes and broth mixture. Simmer on medium heat for 5-7 minutes. | Preheat oven to 180°C (350°F). | In a baking sheet, spread a bit of sauce, add 2 lasagna sheets, cover with sauce, then add 100g cottage cheese. Repeat once more. | Bake for 20 minutes. | Remove from oven, add mozzarella on top, and bake for an additional 3-4 minutes until cheese melts. | Let the lasagna rest for 5-10 minutes. Cut into four servings and store or serve immediately."
Shepherds Pie,4,dinner,365,30,35,9,400 g ground beef or lamb 95/5; 400 g mushrooms; 100 g peas; 100 g large onion or onion; 100 g carrot; 100 g celery root; 20 g tomato puree; 2 cloves of garlic; 400 g water; 20 g vegetable broth powder; 15 g dry gelatine; 50 g Gouda fat reduced cheese; 2 g oil; to taste Salt and black pepper; see recipe Cauliflower mash,"1. Chop up all vegetables and the mushrooms into bitesize pieces, peel and grate the garlic. | 2. Add water with broth powder and gelatine into a container and mix until combined. | 3. Add mushrooms with 50g water to a pan on medium-high heat. Saute until mushrooms have collapsed. Add 2g of oil and fry until mushrooms get color, around 4-5 minutes. | 4. Make space in the pan and add 2g of oil. Add the beef. Season with salt and black pepper. Fry for 2-3 minutes. | 5. Add vegetables and fry with occasional stirring for 7-8 minutes. Add garlic and fry for 20 seconds. | 6. Add tomato puree, fry for 30 seconds, then add peas. | 7. Add broth mixture, stir, cover, and simmer for 15 minutes. | 8. Prepare cauliflower mash (see recipe). Preheat oven to 200°C (400°F). | 9. Fill a 20x20cm baking dish with the meat sauce, cover with cauliflower mash, and top with gouda cheese. | 10. Bake for 10-15 minutes. Serve and enjoy!"
